dEdx500,R500,R500Error,dEdx350,R350,R350Error,dEdx200,R200,R200Error
23.9236,0.2468,0.0156,23.8605,0.1694,0.0483,23.8568,0.1404,0.0882
18.6446,0.2828,0.0639,18.6468,0.2149,0.0825,18.6586,0.1665,0.1120
15.7305,0.3166,0.0543,15.8502,0.2547,0.0354,15.7570,0.1899,0.1182
13.7577,0.3387,0.0207,13.9897,0.2674,0.0414,13.8913,0.1869,0.1210
12.5815,0.3494,0.0271,12.7239,0.2864,0.0451,12.5558,0.2282,0.0770
11.4295,0.3889,0.0284,11.6689,0.3022,0.0644,11.7562,0.2292,0.0477
10.8385,0.3852,0.0691,10.8877,0.3196,0.0377,10.8157,0.2290,0.0480
10.3054,0.3692,0.1810,10.3297,0.3201,0.0630,10.2166,0.2386,0.0852
9.6733,0.4142,0.0514,9.7599,0.3356,0.0594,9.7966,0.2221,0.0962
9.1336,0.4462,0.0665,9.3231,0.3531,0.0510,9.3634,0.2265,0.0488
8.8862,0.3919,0.0192,8.8825,0.3401,0.0989,8.9163,0.2607,0.0422
8.3172,0.3944,0.0168,8.3142,0.3587,0.0534,8.2966,0.2732,0.0406
7.7203,0.4279,0.0729,7.6887,0.3760,0.0703,7.6872,0.2920,0.0735
7.2750,0.4557,0.0471,7.2695,0.3908,0.0389,7.2937,0.2933,0.0400
6.7717,0.4881,0.0170,6.7216,0.4052,0.0517,6.7460,0.3121,0.0375
6.3349,0.4826,0.0311,6.4012,0.4211,0.0416,6.3598,0.3227,0.0326
5.9459,0.4880,0.0334,5.9419,0.4356,0.0474,5.8164,0.3287,0.1977
5.4683,0.5484,0.0446,5.4441,0.4571,0.0254,5.4449,0.3622,0.1378
5.0834,0.5243,0.0239,5.0485,0.4702,0.1204,5.0979,0.3769,0.1446
4.6709,0.5434,0.0384,4.6598,0.5024,0.0583,4.6801,0.4065,0.0587
4.3349,0.6123,0.0393,4.3855,0.5037,0.0367,4.3603,0.4018,0.0392
4.0651,0.6124,0.0537,4.0396,0.4904,0.1407,4.0457,0.4264,0.0408
3.6912,0.6181,0.2541,3.7048,0.5021,0.0210,3.7054,0.4418,0.0297
3.4466,0.6025,0.0219,3.4287,0.5495,0.1281,3.4479,0.4572,0.2256
3.5015,0.5756,0.0392,3.3829,0.4828,0.0707,3.1863,0.4981,0.1456
9.1101,0.4401,0.1904,9.2100,0.3713,0.1395,8.9604,0.2614,0.0334
7.1947,0.5063,0.0272,7.2003,0.4006,0.0429,7.1933,0.2888,0.0177
6.0183,0.5445,0.0499,5.9452,0.4346,0.0574,6.0269,0.3207,0.1777
5.3340,0.5229,0.0631,5.3300,0.4500,0.0603,5.3482,0.3347,0.0427
4.8304,0.5232,0.0515,4.8057,0.4739,0.0660,4.8502,0.3686,0.1805
4.4181,0.5502,0.0529,4.4101,0.4973,0.0770,4.4054,0.4099,0.1572
4.1660,0.5402,0.0389,4.1548,0.5002,0.0600,4.1791,0.3646,0.0232
3.9351,0.6211,0.2121,3.9376,0.4997,0.1750,3.9513,0.4365,0.0862
3.6080,0.6174,0.0502,3.6215,0.5070,0.0477,3.6386,0.4202,0.0422
3.4854,0.5716,0.0315,3.5106,0.4986,0.0441,3.4828,0.4462,0.0564
3.3763,0.6251,0.2147,3.3752,0.5175,0.0297,3.3833,0.4408,0.0303
3.0808,0.6413,0.0249,3.1154,0.5516,0.0430,3.0890,0.4391,0.0244
2.8756,0.6662,0.0342,2.8830,0.5811,0.0384,2.8540,0.4985,0.2170
2.7286,0.6320,0.1865,2.7240,0.5761,0.0387,2.7008,0.4913,0.0246
2.5226,0.6439,0.0746,2.5299,0.6199,0.2351,2.5371,0.4908,0.2347
2.4327,0.6549,0.0205,2.4294,0.6245,0.0314,2.4374,0.5502,0.2238
2.2491,0.6647,0.0192,2.2517,0.6252,0.0275,2.2479,0.5269,0.2557
2.1363,0.6968,0.0284,2.1272,0.6320,0.0336,2.1158,0.5455,0.0239
1.9919,0.6734,0.0061,1.9954,0.6433,0.0273,2.0042,0.5054,0.3010
1.8885,0.6530,0.0177,1.8844,0.6578,0.0382,1.8856,0.5782,0.0271
1.7695,0.7183,0.0262,1.7812,0.6708,0.0351,1.7793,0.4962,0.1472
1.6867,0.7113,0.0200,1.6975,0.6276,0.3561,1.6894,0.5814,0.0281
1.5999,0.6844,0.0229,1.5977,0.6190,0.4358,1.5978,0.5724,0.0280
1.5300,0.6980,0.1750,1.5242,0.6608,0.0360,1.5267,0.5761,0.0956
1.4731,0.6967,0.0683,1.4735,0.6624,0.0033,1.4767,0.5986,0.0292
